Video Name	Word Count	Duration (s)	Sentence
1IRHEhx1lBs_5-5-rgb_front.mp4	29	39.66	If we bring the left foot here to meet it and bend the knees and then bring the chest back forward you get a nice line in the body.
-fNgnONv_3I_14-5-rgb_front.mp4	30	32.29	So the best crawl for this is a leopard crawl, which is down on your knees and down on your elbows, and you're going to crawl pretty much like that.
1yckSw3bsVs_0-8-rgb_front.mp4	30	33.25	Okay this last one is a little bit of a challenge but once you practice the straddle splits and the leg training your legs will start to get much stronger.
1SokWkmngI8_15-5-rgb_front.mp4	32	31.20	Seal that edge, slide it in your crimper, back and forth, two or three times, to help seal that edge, and there we have two sour cream containers already prefilled with chocolate.
-1rM0t5FMiE_6-5-rgb_front.mp4	33	34.35	And then we're going to go around to the front area of the leg and I'm going to go take the round scissors and round off the bottom and clean it up nice.
1jVOx59INmU_6_7_8-11-rgb_front.mp4	33	41.09	Mix this together and see, yeah, we may not even need much more than that. Yeah, that's coming together nicely. Beautifully, kind of see how that's coming together, starting to look like cornbread!!
2Wt91-j_DDI_11-5-rgb_front.mp4	33	31.56	The locking clip is always applied within a inch of a latch plate and a locking clip could be used with a belt that has no locking magnetism that is older then 1997.
1SmCdI9u3Sg_6-5-rgb_front.mp4	36	31.80	She is going to keep her head lifted, initiate the exhale from the tail bone, she drops the tail bone, rolls down one vertebra at a time, chin to chest at the end of the exhale.
20OkhuZd7HI_6-5-rgb_front.mp4	37	37.54	And if you're really having trouble getting the cotton candy to stick to the cone, you can try using a damp cloth and just rub it right over the cone, and it will stick right on there.
005j20-PoLw_6_7-5-rgb_front.mp4	38	34.40	Come in give it that classic casserole body right there; classic o.k. Just like that and then do some wheel trimming here and there's going to be a lot of goop that comes out of the bottom there.
1gycdY2pcYc_2-11-rgb_front.mp4	39	32.99	Now don't forget, how to topic has to be culled down to a small manageable size and it has to be demonstrable, and what I mean by that is your how to speech must follow chronological order or steps.
1UPmMYcFIWM_6-5-rgb_front.mp4	40	33.13	Then the final part of the process is taking the bridge and injecting into the piston with this resin so that we can place this over the break, suction it to the glass and apply our piston to the glass.
cRhmpbpCW_4_2-5-rgb_front.mp4	42	45.83	There's one tea bag, just let the tea steep for a little bit and we're going to fill up this with cold water over the ice, so I'm going to add the cold water to it so all the ice doesn't melt.
0xAGc82Wq3o_5-5-rgb_front.mp4	43	32.37	We start with our part and then decide where you want the bun to be, as I said earlier, nape of the neck, low and then throw some in front of the face but still do it with order, like it was intentional.
1pd6CDNcuEM_6-11-rgb_front.mp4	43	32.17	Also some cats that are long haired may retain a little bit of urine or fecal material on their fur so keeping their fur under their tail trimmed or clean, baby wipes work very well for instance, can help urine and fecal odor.
1r9BuA9JwsY_1-11-rgb_front.mp4	43	30.98	So you put it into your bowl of water that's got disinfectant in it, and get your cloth; because if you just, if you just wash it, if you just do this inside the water, it's not going to really get everything off.
08JotxFsA4Y_6-5-rgb_front.mp4	44	31.38	And another cool little trick is so that I don't lift makeup off of her skin, I'm going to apply the puff onto her cheek and rest my hand here while I apply the eye shadow onto her eyebrow or fill in her eyebrows.
1ND0o3AeO1k_8-5-rgb_front.mp4	44	33.07	And what I'm going to zero in on right now is what we call the rustic capitals which is a book hand and actually, even though this is a book hand, these letters were also brushed onto stone to make posters for the public.
1UvJ0mvrOPw_29-5-rgb_front.mp4	44	31.94	And at this point you've completed your friendly neighborhood Spiderman slinging home on a very very cold winter afternoon, perhaps on his way to a family gathering or hopefully someplace else nice and warm and give him a break from fighting all that crime.
-70D86eMmIc_13-5-rgb_front.mp4	45	32.27	Ismene or Peruvian Daffodil is a plant we sell in the summertime that's from Peru where the Incas developed it, so I like to think here we are 10,000 years later or 20,000 years later still enjoying a plant that their civilization created for us.
1EkrrxYCFB4_4-5-rgb_front.mp4	45	35.39	Basically, any tune-up will involve a wipe down of the bike, a clean of all the surfaces, checking critical bolts, checking your wheels if they are straight, checking your shifting if that is correct in the front and the rear as well as your braking.
23df10xArII_5-5-rgb_front.mp4	45	34.09	At this point there is still a lot of pits in the juice so we would use the strainer to get the pit and the excess flesh of the juice and we would have clean lemon or lime juice for the dipping sauce and filling.
FgY0hTUDhsw_14-5-rgb_front.mp4	45	35.13	But you're actually going to have a sock that comes up very high, and protects this entire part of your leg, so that where the shoe leaves off protecting you, the sock picks up, and then of course the pants pick up again after that.
0trr2UC5l5M_6-11-rgb_front.mp4	46	32.72	And brown it for about three minutes on one side, the turkey neck, and then we're going to flip it over, turn the heat down to moderate heat, brown the other side for ten minutes, and then we will get ready to put in our stock.
1idQRo9LJr4_2-11-rgb_front.mp4	46	41.84	In the back here it will show you how to figure out what you have to pay and so if you, licensed competition number 1 category $50.00 and then you also need to be a member and you can do that by purchasing the National Dragster.
1--HXyOH4kg_16-5-rgb_front.mp4	47	33.08	The important thing is to be able to enjoy the exercise and utilizing the Access Bar, and applying this whole concept of the energy system is what enables us to really be able to enjoy the activity, so we look forward to it, to the next day.
1CeaPJb3z-w_3-5-rgb_front.mp4	47	34.23	OK, next we're going to cut out the beak and we're going to use some orange felt for the beak and you want to cut a strip about a half inch wide like this and fold it in half, and then round off the top like this.
1pycas4XL9U_10-11-rgb_front.mp4	47	36.34	If you like costume jewelry and you want to just buy a big bunch of it all at once it's very easy to do this within a limited budget at either an antiques fair or a knock off place or a discount store like Target or Mervyns.
BbD_TFIveK8_4-8-rgb_front.mp4	47	30.99	Now we're going to do twinkle twinkle little star now Ome is here to help us Twinkle twinkle little star how I wonder what you are up above the world so high like a diamond in the sky, twinkle twinkle little start how wonder what you are.
1iNZfYho0yc_4-11-rgb_front.mp4	48	48.35	Add five to that number, double the result, then subtract four, then divide by two, the answer that you get here subtract the number that you started with, and you will always see that the result will always be three and you can check that with any number.
1p2RAtkTCxY_4-11-rgb_front.mp4	48	46.98	It is probably one of the highest plants next to asparagus that creates an alkalizing effect in your body and that is based on your PH its very similar to people that want to make sure that they want make sure to a proper Ph in their pools.
24-pXXQodVQ_4-5-rgb_front.mp4	49	35.92	Remember that a copyright is a constitutional guarantee of the authorship of a work of art, or medium of expression, it covers both published and unpublished works, but it's a very specialized area, and if you don't know what you're doing, you can get into a lot of trouble.
EQU6DoctO2Q_2-5-rgb_front.mp4	49	31.67	The advantage to this kind of perfume over a simple regular pre-blended perfume which is pre-made and often goes under a designer label, is that with a single note scent you can mix up to seven of these scents on your body to determine your own personal signature scent.
eXabAP-jk6E_3-5-rgb_front.mp4	49	31.72	The different colors that are distributed in the water; there may be an amber color, it may be black, it may have a floating foam and these different colors and these different elements that appear in water which originally started out clear are waste products from your circulatory system.
003D1CHLnQs_8-5-rgb_front.mp4	50	30.17	Well, there's a five, so there is my captain and a die with four on it, equals the crew, and then once you have that, once you have ship, which is six, captain which is five, and crew which is four, you can use the remaining dice for your cargo.
-e28snEMnO4_8-5-rgb_front.mp4	51	30.38	These again, boy shorts with design detail, and they have a more straight across, menswear inspired waistband, but the legs are girlier ,because they're arched up, and then I did my central panel as a design detail, and I added a band at the legs, and a band at the waist.
1IgRvp7atXE_7-5-rgb_front.mp4	51	35.63	So what I'm going to do is in my mind I'm going to choose some of these mature beautiful canes that have growth ready for they're second year in fruiting and everything else, anything that doesn't meet the grade in the path, in the way, not big enough, old and dead.
5OoZG2cMSKM_0-5-rgb_front.mp4	52	32.57	Ok, the next barrier to communication, is really about words, but sometimes words can also be used in message distractions, and what message distractions are, you see it a whole lot on college campuses with tests, and that's putting down words, and you have to give the right answers to these words.
DDSIJfTOlBE_1-8-rgb_front.mp4	52	40.91	Let me show you the ingredients for the stuffed cabbaged we're going to be using 2 lbs of ground beef, 1 to 2 heads of cabbage, 3/4 cups of rice, 3 eggs, 1 onion, 1/4 cup of ketchup, 1/2 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 clove of garlic.
1p2RAtkTCxY_3-11-rgb_front.mp4	53	44.51	You want to make sure that you order these seed early in the year January of February you can go the Internet and look up great organic catalog companies and chose the kind of seed you want to have and the interesting thing about parsley is that is very, very good for you.
E3r2mQix7Uo_12-5-rgb_front.mp4	54	32.54	There's six plus four equals ten so the whole deal is you're playing with two six sided dice and probability is at play and the thing, the combination, the sum that most often comes up will be seven because it's most likely with two six sided dice to get a seven than anything else.
1-Ud-q4y1oc_5-5-rgb_front.mp4	55	30.21	You want to make sure that your windows are sparkling and you get quite a bit splash here from the bath tub if you have got kids in the tub or if you have got windows nearby and also sometimes just the condensation from the shower can also leave little water marks on your windows.
CanYlZX_uyE_6-5-rgb_front.mp4	55	37.26	If you have time, sometimes you get let it sit and absorb into the stain, and then you're going to need to flush to see if you get it all, because the water, in this case, my water turned blue, and if I still see a little bit of stain still there, I'll just scrub.
0q_iyR8gV38_7-5-rgb_front.mp4	56	38.85	Usually when people are complaining of tired or stressed looking eyes, makeup is the first thing that they go for, so whatever you know your clients are doing to help brighten or open or de-stress their eyes is probably fine and what makes them comfortable, so definitely don't discourage your clients in doing their regular routine.
22iGdujk5HE_2-5-rgb_front.mp4	56	46.64	You have a valve here which is your on and off and your temperature control, we have a diverter here because in this shower I have a regular shower head above and I have a sunflower on the other wall so you can actually run them both at the same time or one or the other.
CKO9_7Msf9c_6-5-rgb_front.mp4	56	33.60	When you are using a taper you want to clean the area using some kind of disinfectant or antibacterial soap and water and then you are going to want to lubricate the taper pen with A and D ointment or Neosporin or some kind of Vaseline in order to help it run through your ear smoothly.
1ISBP6Ar-7I_5-5-rgb_front.mp4	57	32.09	And nowadays we have the American Supercross Series, which is the, basically the pinnacle of racing in the world, as well as the AMA Motocross National Series, that spurred from the original 1972 series that they promoted and today, the United States is, is a hotbed for motocross, attracting the top riders from all over the world.
2c0pN0EgeJA_7-5-rgb_front.mp4	57	31.63	Now, now that that is connected, (as you can see there), we're going to get the glass hot and gradually we're going to pull out towards the front of the pendant, (a little bit of twisting with my right hand there), now we're going to heat the rod and try and arc it backwards into the bail.
5_w9QWHoI1E_16-8-rgb_front.mp4	57	42.87	The shell spiral of a nodelist, is due to that growth rate, so it's somehow built into us, to like that ratio and when artists discovered it, when they started painting and when they started doing things like building buildings, they discovered that that was a very perfect shape and established good composition that people naturally liked.
0ox8b-TwKEs_4-5-rgb_front.mp4	58	35.61	If you want to go to a source that's a little bit more specific and health based, you can go to something like WebMD.com, or Mayo (that's M-a-y-o)Clinic.com, or you can also go to the National Institute of Mental Health web site, where they have, not only what different phobias are, but kind of some of the treatments.
1nnhZvWBE44_8-11-rgb_front.mp4	58	31.18	When you get the ball and you receive the ball and control it, you're able to throw the ball out to your offensive and defensive players, you're also able to punt the ball out to other people making sure that you are keeping the ball in control and controlling the game back there as you're a goal keeper.
bLR_bcYb0uI_10-5-rgb_front.mp4	58	36.20	When a tooth is sensitive to pressure, then it typically will mean that you either have a fracture, something moving inside the tooth, or up against the gum, or an infection contained in the structure around the tooth, be it gum or bone, but it's trapped in between two structures, and the pressure from that infection, causes pain.
0GLi2UAP2CY_1_2_3_4-8-rgb_front.mp4	59	43.22	Okay, we're going to add a nice Medjool date. These are beautiful dates, wow. They're so sweet and really soft. I find that, from my own personal experience, that when I buy things in volume and I'm not a very small little business here, and so I don't buy volume very often, but I have bought dates in volume.
0pzZP3RhYeo_3-5-rgb_front.mp4	59	38.77	You are going to draw the knee in towards the chest, kick out, and circle back and with your breathing just breathe naturally, keep your hips as stabilized as possible, and then when you perform anywhere between 10 to 20 reps in this direction, reverse, and then really reach out through those toes, reach, reach, reach, lengthen, lengthen, lengthen.
1-2UTIfxWao_4-5-rgb_front.mp4	59	30.47	Actually I had used the gray thread, and now that I'm pinning this up, looking at it, I think I might just use some black thread that will match my hem tape, and it will make it look really nice and professional, just in case somebody wants to look inside of your pant leg and see how it's done.
-BWRIFAD4_s_9-8-rgb_front.mp4	60	36.77	For the peanut butter cream mixture we are using a cup of confectioner's sugar, 1/2 cup of creamy peanut butter I'm using the natural type peanut butter, a teaspoon of vanilla, 8 ounces of cream cheese you can use the creamy cream cheese or you can use the block style both would work fine and 1 cup of whipping cream.
bZfiiqG_cF8_18_19-5-rgb_front.mp4	60	39.55	It's the A string. Take it out of the package, place the ball end back into the bridge slot, pop the bridge pin back in on top, press it in firmly, run the string through the nut, and give it a couple of turns around the the peg, and run the end of it through the hole in the peg.
1CeaPJb3z-w_4-5-rgb_front.mp4	61	40.16	OK, so I have a strip of orange felt about a half in wide and I fold it in half and rounded the top and now I'm going to fold it again, and that's the beak, and we're going to place that right where the beak should be up in the head between the two pieces of yellow felt like this.
b2k59617MJs_5-5-rgb_front.mp4	61	39.41	This one is called a one route for the quick out, two for the slant, three for the deep out, four for the in and five for the flat and six for the curl and we have a post corner that I forgot which is the seven route, eight is for the post route and the nine is the flat route.
3xag4Y3JqHo_2-5-rgb_front.mp4	62	39.29	They're all situated on the inner part of the tooth and so what we have to do for the most part, when you get a cavity, the cavity is on the top surface or from the side, it breaks through the enamel and into part of the tooth structure and then basically exposing these inner part nerve tissue and the blood supply.
3xag4Y3JqHo_2-8-rgb_front.mp4	62	37.95	They're all situated on the inner part of the tooth and so what we have to do for the most part, when you get a cavity, the cavity is on the top surface or from the side, it breaks through the enamel and into part of the tooth structure and then basically exposing these inner part nerve tissue and the blood supply.
4GKnUtxCEY8_2-5-rgb_front.mp4	62	37.86	Now, what I mean by steeping or brewing your tea is you're adding hot water to the tea leaves and allowing them a certain amount of time for all of the flavor, the caffeine, the healthy antioxidants and all that is tea to escape from the leaves into the water or, you know, to join in and become defused into the water.
abCTdCOQjEQ_8-5-rgb_front.mp4	62	36.74	I'm going to move the chicken here into the oil and I'm going to sautÃ© this, and we're going to reserve this plate because once the chicken is marked we'll take it off, but to ensure that we don't contaminate any other surface we're going to take the end of our glove here from the wrist and bring it into a ball.
b-341m5ri_A_16-5-rgb_front.mp4	62	33.33	So I'm going to put that in the middle of my tissue paper, pull all my edges up, first I'm going to flip it around, there we go, pull all my edges up, put it into my gift bag, and then I'm going to fluff it up so she will see the beautiful stamping I did with my wheel on her gift.
eUkBa7h9VGM_4-5-rgb_front.mp4	62	31.03	One: you could use a press, like I have right beside me which we're going to use in a few minutes, or you could actually flatten this print using, I've seen people use heavy encyclopedias, books, I've seen people also make a little contraption where they'll take wood and felt and just screw it down with some bolts, two pieces of wood.
006LlgDKKGM_2-5-rgb_front.mp4	63	32.00	I would suggest like I've mentioned be creative on your walks, find a parking curb, a picnic bench or a fallen log to practice over, a sewer block, a picnic table to practice the table and as far as the tunnel if you have any chairs in the home with an actual bed sheet you can practice that as a tunnel as well.
08JotxFsA4Y_3-5-rgb_front.mp4	63	30.72	So, I'm going to pick out the color that I think is closest to her eyebrow and I'm going to use an angled brush like this, and this is my favorite brush for filling in the eyebrows, I use it on myself, I use it on all of my clients, this brush, you can get this brush pretty much at every makeup counter.
1MQCIqeTLk0_3-5-rgb_front.mp4	63	41.03	Alright now we will give our chicken a final stir and we will try to give our chicken a final stir and we will try to get a nice scoop of all the colors, the reds, the greens and the browns and we will try to make sure that we get a piece of basil over the top so that can be here.
1Th9xt0UCkE_3-5-rgb_front.mp4	63	31.51	Sitting up nice and tall again on the edge of your chair and let's reach back, holding on to that back of the chair and we are squeezing our shoulder blades towards each other and allowing the front of the chest to open up and getting a nice stretch and we will just focus on holding that pose and breathing and then releasing.
24-ujdkcwaE_4_5-5-rgb_front.mp4	63	32.15	Now Ginjo, in specif, specifically is geared towards people who like lighter, softer, cleaner wines. Now, taste match is a system that if if you like a big Sauvignon Blanc, a big dirty Zinfandel, and you like big Belgian's or big stouts, you generally aren't going to like the same sake maybe as somebody who likes a Sauvignon Blanc and a Kiran beer.
0t_nltnZdsg_6-8-rgb_front.mp4	64	32.64	Its readily available here we have a bottle of folic acid and you should also make sure that you get your recommended daily dose and that will also help to alleviate symptoms of restless leg syndrome, multi vitamins because a lot of these products have iron included into them but besides taking these supplements its recommended that you take it in from natural foods.
DrZTDpIH7bk_2-5-rgb_front.mp4	64	37.07	So mainly the first steps or stages of a facial of any facial really, you want to prepare the skin and cleansing and exfoliating helps to open the skin's pores so that the skin can receive the other products or ingredients of the rest of the treatment so when the skin's pores are wide open you're going to benefit the most from the treatment.
DwB2ujCHykM_0-5-rgb_front.mp4	64	30.28	So, when you're speaking with your tailor or maybe the rental place, where you're going to be renting your suit, or someone that is designing and creating something special for you, one thing to consider is different neck shapes that you have, which are going to kind of alter the shoulder style that your garment is going to be tailored in; your jacket specifically.
1Cjb2vNtyho_5-5-rgb_front.mp4	65	34.82	Let's say if you are doing let's say that you took a short trip of ten days like from New York from California so you want on the itinerary should be all of the gigs, what time, they start, what time the sound track is, the contact person, lights, load in time, the hotel your staying at, its phone number and this type of information.
DrZTDpIH7bk_1-5-rgb_front.mp4	65	34.98	It is really gentle, the product is actually working for us so you don't really need to go in there and really scrub super hard the product does everything for us and what a scrub does is kind of exfoliate and remove again you know dirt and oils but any dry skin that is left over and it gives you that soft baby skin feeling.
0-0kX3XoMPQ_10-3-rgb_front.mp4	66	33.17	Come on down just like that and then obviously we will add some details to it just to make it look more interesting, just like that and then you know if you want to you can add a polished sort of shine to it if you want and texture it a bit just to make it look a bit more interesting but that is basically it.
1p2RAtkTCxY_0-11-rgb_front.mp4	66	50.05	And today were going to plant the parsley seed and I would like to take a brief time to talk about the kind of seed that you might be purchasing here were today were planting the Italian flat leaf parsley which has the flat leafs on it and there is also a curly leaf parsley which is very curly and I personally prefer the curly leaf.
DrZTDpIH7bk_0-5-rgb_front.mp4	66	34.05	So the next step in the oxygen facial is to exfoliate her skin and we are going to be doing that by using a mild scrub and it is actually grounded marble beads so it is going to feel a little abrasive on her skin however, my fingertips are gently going over her skin so that we don't abrade you know the surface of her skin.
3S3CGwIQgVk_10_11-5-rgb_front.mp4	67	33.59	So make sure you left enough room around the edges, the outer edges, of your picture frame. So now once I've drawn the outlines on the back of the picture frame I go ahead and cut around the edges being left with a square piece of cardboard that's going to sit right onto the back of the picture and make up the backing of the picture frame.
cNllDjjcRIg_1-5-rgb_front.mp4	67	31.70	Quite often hats have inner tags and even though the lining on this particular, this is a canvas hat, a safari hat with a snap on the side as you'll see, even though this hat is lined with a gentle cotton that would find very good on your head, it actually has a harsh embroidered tag on the back of it that can be very very uncomfortable.
-00cp1iGiDw_8-5-rgb_front.mp4	68	35.41	The dogs typically like to eat them they are flavored so they chew them right up and what this does is it prevents the production of cottin so if a flea jumps on your dog bites your dog and ingest the blood meal then the blood meal would have the chemical ingredients of the sentinel when they lay there eggs they would not be able to produce cottin.
-0ZqnVFv7eI_3-5-rgb_front.mp4	68	30.04	You're talking about everyone on your team, having those individual skills down, and being able to use them in concert with one another, so we're going to be going over the taking of buildings, the defending of buildings, and the critical elements required tactically, to integrate a team together, and have them function as a single system, with a goal, where everyone on the team is working together.
3QUvJUyYpfc_1-5-rgb_front.mp4	68	36.30	I'm standing over a dirt bike cause I feel it's a great idea to learn how to ride on a off road bike, or dirt bike, reason being is because they are, they are smaller displacement, their smaller in size, but yet they mimic a street bike exactly as far as the way the clutch operates, the gear shifter operates, and where the brake and control locations are.
aWQtkHYFJWo_3-5-rgb_front.mp4	68	38.33	Today ink basically is a combination of different types of pigments, dyes and it's used for many many things obviously in the world we live in, not just for writing but for you know, coloring the clothes we wear and basically anything that involves some form of color in this day and age, on either printed materials or clothing or anything, comes from a certain form of ink.
br-gJiD-YfA_16-5-rgb_front.mp4	69	34.38	Lastly, with implements it's a big issue, again, but you want to make sure that you're, when you're moving around, when you're transporting with implements raised up, either on your lift or if we had a front end loader on the front of this tractor, you want to move around with those implements as low as possible to avoid an imbalance and, and decrease the likelihood of an overturn.
1tmG7yRZ4E0_1-8-rgb_front.mp4	70	33.62	An entry level engineer can start out making twenty to thirty thousand dollars a year in US dollars, and they basically will stay in the--stay at that level for probably six to twelve months, and then they can move up their salary can increase maybe a couple to five thousand a year, until they get to--they plateau at a certain level, which we'll say is forty-five thousand a year, maybe.
3EUv9chnujY_2-5-rgb_front.mp4	70	41.78	And with this coconut you can take a cup of this shredded coconut you can put it in your blender and then you can take two cups of warm water, not hot water but warm water, you can blend that in a blender and then pour that blended juice on a cheese cloth and you can squeeze that and what you end up with is what I call coconut milk.
3EUv9chnujY_2-8-rgb_front.mp4	70	42.44	And with this coconut you can take a cup of this shredded coconut you can put it in your blender and then you can take two cups of warm water, not hot water but warm water, you can blend that in a blender and then pour that blended juice on a cheese cloth and you can squeeze that and what you end up with is what I call coconut milk.
1Vofqi_ZdaU_5-5-rgb_front.mp4	71	39.13	With the middle of our knife we're just going to go along and chop our cilantro and once the leaves have more or less been broken up we're going to put our hand - not at the end of the knife but close to it to hold it steady - and we're going to use the back part of our knife because this is generally the sharpest part of the knife.
EZA0R3KNbYc_2-5-rgb_front.mp4	71	30.77	A lot of times like in ours it was a small town so I took my children and we did a we sang those old hems that a lot of kids aren't use to now because maybe they go to church with a contemporary Christian music and they have the old Legged Cross and In the Garden and all those Amazing Grace and all those old hems and that was great.
FBSO2ja6XpE_2-5-rgb_front.mp4	71	35.00	When you go to a shop you should go and by a package so that you get fitted best your board, boots, and bindings but the boots are very very touchy because people, like you have to try them out pretty much and they take time to break in, there is all types of different kinds, pretty much there is soft, medium, and hard and there are different lacing systems now.
13SBIjnC5qA_5-8-rgb_front.mp4	72	36.98	The whole drawing is created with these lines, and he's managed to give a feeling because he's using all these very straight lines with rulers, he's giving you the sense of a universe that is very controlled and very predictable, at the same time that he's challenging you by making these people go in, staircases that are going down into nowhere and up into nowhere and the whole space is basically undogmatic.
5UDsvJNpI5k_4-5-rgb_front.mp4	72	35.87	And hereâs a sleeve, you can see the front here, kinda wraps around the back part of it, and what Iâm trying to do here is just straighten out the sleeves a bit so I know where everything is, I know if its got creases or not and Iâm going to fold it on top of itself and tuck these arms in just a little bit so that theyâre not sticking out.
1028f1LdKHk_1-5-rgb_front.mp4	73	34.47	What you are going to need to do for this trick is to be comfortable riding in the fakie position that I showed you earlier which is with your feet in the normal position that they would regularly be but you are riding backwards and with the fakie half cab the difference between this backside 180 and a regular one is on a fakie half cab you can see where you are spinning.
1A1mzX1-l9g_1-8-rgb_front.mp4	73	30.44	We are going to use the soft drier oasis for it because the container has a small little step down here with the pedestal we are going to put a hot glob of glue at the base of it and that will fill it in a little bit and then you need to put a top one in and cut the corners off that you measured to stick on the top of that.
1EC-cM1w4sQ_7-5-rgb_front.mp4	73	30.68	You can see just doing it that way gives her a just a natural look of color; just looks like she was naturally maybe out for a run or did a little bit of exercise, so she has a just a nice, natural color right on the apples of the cheek, it's not to heavy, it's not to dark and this is what you would want for a really nice, natural daytime look.
1VQZlvupNgo_16-5-rgb_front.mp4	73	32.05	Some great ways to use this compost in the garden is to actually till it as a amendment and work into your soil, but what I have done over the years and part of the reason I have such a nice loose soil is simply to use this in the garden as a mulch, and as I plant new plants I simply come in mulch around it with a little bit of compost.
aRLsDsSFCkg_4-5-rgb_front.mp4	73	33.92	If you have to actually manually give your pet, your dog a pill, the best way to do it is if you can't use any treat or peanut butter or something like that, is to take the pill itself with one hand and take your other hand and taking your thumb behind the right canine tooth that opens the mouth and then you can press the pill over the base of the tongue.
06bQ_DxQGJU_8-5-rgb_front.mp4	74	37.18	Cross court, so you see how Ken has to move his body to go cross court and one more, okay so that is the idea is you want to be able to return to all different spots of the court and as you get more proficient you can hit them short, wider, angled, you can return them deep so you can move, you can keep the server off balance with a high quality return.
1Vofqi_ZdaU_3_4-5-rgb_front.mp4	74	40.38	We're going to cut our cilantro. So we're going to go through our cilantro and find any pieces like this and just move them off to the side, and then once we've done that and try and bunch them up like we did the asparagus with the leaves up at the top and the stems down on the bottom and then we can take that and simply cut the stems off and discard those.
dC0nsP_KIw4_4_5-8-rgb_front.mp4	74	38.09	Remove the board and then you have a straight line here. Another way you can do it is if you just have some tape and a brush, this tape here is low stick and it won't pull the paint that is existing on the wall off so you take a strip of it and pull it fairly tight and put it on the wall or the board or surface that you're going to paint.
-F8wNvnNQNs_6-8-rgb_front.mp4	75	35.33	My left fingers are still the stabilizers and my right fingers are still doing all the work, pushing the clay towards the center of the wheel, and once you've got that nicely centered and just a column you can just take your right middle finger and push in to make a stem and once you've got a stem you can just pinch the top a little bit to pull it out to make a knob.
17wK8JXEJvo_11_12-8-rgb_front.mp4	75	46.17	You want to go back and forth a few times just to make sure that's pretty secured. Go ahead and do the center seam the same way again I like to make these fairly large because if you do want to say use one of those two litter bottles of water or I think a liter in a half, those are fairly large cause you do want to give space for them to fairly fit.
1CZBTc6jzCs_2-5-rgb_front.mp4	75	31.90	You can begin with your feet parallel and just kind of sink into it to see how far you can go, see how flexible your base is and as you do this then you may want to, toes go out a little bit and the toes are out plea style, pointed out at an angle, then you have a little more flexibility and you can probably take it down a little lower, a little deeper.
